0.5,-0.1,196,328,-0.0,-0.0
0.2,-0.1,201,323,-0.0,-0.0
-4.2,-4.5,196,460,0.0,0.0
-3.9,-4.5,195,332,0.0,0.0
-3.6,-4.5,201,337,0.0,0.0
-3.3,-4.5,195,327,0.0,0.0
-2.9,-4.5,196,325,0.0,0.0
-2.6,-4.5,202,313,0.0,0.0
-2.3,-4.5,206,316,0.0,0.0
-2.0,-4.5,203,314,0.0,0.0
-1.7,-4.5,201,337,0.0,0.0
-1.4,-4.5,202,324,0.0,0.0
-1.1,-4.5,200,321,0.0,0.0
-0.8,-4.5,195,330,0.0,0.0
-0.5,-4.5,190,341,0.0,0.0
-0.2,-4.5,199,328,0.0,0.0
0.2,-4.5,197,320,0.0,0.0
0.5,-4.5,194,328,0.0,0.0
0.8,-4.5,195,333,0.0,0.0
1.1,-4.5,195,322,0.0,0.0
1.4,-4.5,202,329,0.0,0.0
1.7,-4.5,191,334,0.0,0.0
2.0,-4.5,197,323,0.0,0.0
2.3,-4.5,198,315,0.0,0.0
2.6,-4.5,195,319,0.0,0.0
2.9,-4.5,198,334,0.0,0.0
3.3,-4.5,202,324,0.0,0.0
3.6,-4.5,189,345,0.0,0.0
3.9,-4.5,195,342,0.0,0.0
4.2,-4.5,198,324,0.0,0.0
4.5,-4.5,194,330,0.0,0.0
4.5,-4.2,201,315,0.0,0.0
4.2,-4.2,200,317,0.0,0.0
3.9,-4.2,194,326,0.0,0.0
3.6,-4.2,199,333,0.0,0.0
3.3,-4.2,197,329,0.0,0.0
2.9,-4.2,201,322,0.0,0.0
2.6,-4.2,202,318,0.0,0.0
2.3,-4.2,202,321,0.0,0.0
2.0,-4.2,204,319,0.0,0.0
1.7,-4.2,202,315,-0.0,0.0
1.4,-4.2,189,337,-0.0,0.0
1.1,-4.2,201,328,-0.0,0.0
0.8,-4.2,197,327,-0.0,0.0
0.5,-4.2,197,326,-0.0,0.0
0.2,-4.2,197,321,-0.0,0.0
-0.2,-4.2,187,334,-0.0,0.0
-0.5,-4.2,191,335,-0.0,0.0
-0.8,-4.2,194,339,-0.0,0.0
-1.1,-4.2,198,325,-0.0,0.0
-1.4,-4.2,206,326,-0.0,0.0
-1.7,-4.2,197,328,-0.0,0.0
-2.0,-4.2,205,318,-0.0,0.0
-2.3,-4.2,199,333,-0.0,0.0
-2.6,-4.2,194,340,-0.0,0.0
-2.9,-4.2,199,337,-0.0,0.0
-3.3,-4.2,200,330,0.0,0.0
-3.6,-4.2,196,330,0.0,0.0
-3.9,-4.2,199,320,0.0,0.0
-4.2,-4.2,193,343,0.0,0.0
-4.5,-4.2,196,345,0.0,0.0
-4.5,-3.9,195,342,0.0,0.0
-4.2,-3.9,195,347,0.0,0.0
-3.9,-3.9,187,349,0.0,0.0
-3.6,-3.9,190,344,0.0,0.0
-3.3,-3.9,193,342,0.0,0.0
-2.9,-3.9,193,350,0.0,0.0
-2.6,-3.9,200,329,0.0,0.0
-2.3,-3.9,200,325,0.0,0.0
-2.0,-3.9,197,330,0.0,0.0
-1.7,-3.9,192,331,0.0,0.0
-1.4,-3.9,199,328,0.0,0.0
-1.1,-3.9,203,324,0.0,0.0
-0.8,-3.9,203,321,0.0,0.0
-0.5,-3.9,193,332,0.0,0.0
